,area,equivalent_diameter,centroid_x,centroid_y,orientation,major_axis_length,minor_axis_length,perimeter
1,25,1.1283791670955126,6731.0,1.0,45.00001609038752,0.0,0.0,0.0
2,400,4.51351666838205,1729.375,4.8125,-31.96060212255626,5.654620339080162,3.4946772126851653,12.242640687119284
3,25,1.1283791670955126,5871.0,3.0,45.00001609038752,0.0,0.0,0.0
4,4550,15.222667215103916,10203.483516483517,12.23076923076923,-83.36322164090875,19.68363916752275,16.8472490023643,70.35533905932738
5,75,1.9544100476116797,2516.3333333333335,4.333333333333333,45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
6,50,1.5957691216057308,5267.5,4.0,90.00003218077504,2.0,0.0,0.0
7,200,3.1915382432114616,4803.5,7.0,-10.900708640877319,4.976979969245306,1.7971283720789095,8.414213562373096
8,50,1.5957691216057308,5269.0,5.5,0.0,2.0,0.0,0.0
9,50,1.5957691216057308,7850.5,5.0,90.00003218077504,2.0,0.0,0.0
10,125,2.5231325220201604,7958.2,6.2,45.00001609038752,4.0,1.3856406460551023,5.414213562373095
11,25,1.1283791670955126,4875.0,6.0,45.00001609038752,0.0,0.0,0.0
12,200,3.1915382432114616,7854.375,7.125,65.50456687286263,6.899972897134615,1.3749087310828105,7.207106781186548
13,50,1.5957691216057308,2516.0,7.5,0.0,2.0,0.0,0.0
14,300,3.9088200952233594,4876.083333333333,9.416666666666666,-6.642435617547205,5.04402536508653,3.000375403313416,10.414213562373096
15,200,3.1915382432114616,5271.125,8.375,-33.01876731903472,4.487387140792187,2.3158921927958827,7.207106781186548
16,25,1.1283791670955126,6097.0,7.0,45.00001609038752,0.0,0.0,0.0
17,25,1.1283791670955126,6553.0,7.0,45.00001609038752,0.0,0.0,0.0
18,150,2.763953195770684,4812.833333333333,8.833333333333334,-45.00001609038752,3.126943839882286,2.309401076758503,6.242640687119286
19,25,1.1283791670955126,4827.0,8.0,45.00001609038752,0.0,0.0,0.0
20,25,1.1283791670955126,5266.0,8.0,45.00001609038752,0.0,0.0,0.0
21,25,1.1283791670955126,6552.0,8.0,45.00001609038752,0.0,0.0,0.0
22,75,1.9544100476116797,9100.0,9.0,0.0,3.265986323710904,0.0,1.0
23,75,1.9544100476116797,10674.333333333334,8.666666666666666,-45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
24,50,1.5957691216057308,11528.5,8.0,90.00003218077504,2.0,0.0,0.0
25,25,1.1283791670955126,1727.0,9.0,45.00001609038752,0.0,0.0,0.0
26,9504575,695.74710192429,4104.077394307478,361.31085030103924,89.39042244755876,972.6159679299192,664.7878777393094,12360.48166649035
27,25,1.1283791670955126,4807.0,9.0,45.00001609038752,0.0,0.0,0.0
28,75,1.9544100476116797,4809.333333333333,9.666666666666666,-45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
29,25,1.1283791670955126,4828.0,9.0,45.00001609038752,0.0,0.0,0.0
30,100,2.256758334191025,6298.75,9.75,18.43495541459913,3.4641016151377544,1.4142135623730951,3.2071067811865475
31,25,1.1283791670955126,7858.0,9.0,45.00001609038752,0.0,0.0,0.0
32,100,2.256758334191025,7861.0,9.75,90.00003218077504,2.8284271247461903,1.7320508075688772,4.621320343559642
33,75,1.9544100476116797,7949.0,9.0,90.00003218077504,3.265986323710904,0.0,1.0
34,50,1.5957691216057308,1728.5,10.0,90.00003218077504,2.0,0.0,0.0
35,50,1.5957691216057308,2515.0,10.5,0.0,2.0,0.0,0.0
36,300,3.9088200952233594,4744.75,13.333333333333334,10.442381348803318,8.832489764799002,1.7914649806633407,12.621320343559644
37,150,2.763953195770684,4886.0,10.833333333333334,-53.130121351576776,3.8297084310253524,1.8856180831641265,6.207106781186548
38,25,1.1283791670955126,6461.0,10.0,45.00001609038752,0.0,0.0,0.0
39,50,1.5957691216057308,7944.5,10.0,90.00003218077504,2.0,0.0,0.0
40,300,3.9088200952233594,4803.833333333333,12.083333333333334,-80.58315235730802,4.894994431930092,2.9693109114997,10.242640687119284
41,50,1.5957691216057308,6462.0,11.5,0.0,2.0,0.0,0.0
42,75,1.9544100476116797,6688.0,12.0,0.0,3.265986323710904,0.0,1.0
43,100,2.256758334191025,7866.75,11.75,71.5650767661759,3.4641016151377544,1.4142135623730951,3.2071067811865475
44,100,2.256758334191025,9100.75,12.0,0.0,2.8284271247461903,1.7320508075688772,4.621320343559642
45,25,1.1283791670955126,3719.0,12.0,45.00001609038752,0.0,0.0,0.0
46,25,1.1283791670955126,4889.0,12.0,45.00001609038752,0.0,0.0,0.0
47,3775425,438.49836525039643,5422.601753444977,270.63555758623204,-28.231300991393503,507.3244142143325,402.324898738774,3138.0176028802016
48,50,1.5957691216057308,6300.0,12.5,0.0,2.0,0.0,0.0
49,275,3.742410318509555,6557.272727272727,12.727272727272727,80.00847534720363,4.899296620841422,2.9199003820073255,10.242640687119284
50,25,1.1283791670955126,7152.0,12.0,45.00001609038752,0.0,0.0,0.0
51,25,1.1283791670955126,1727.0,13.0,45.00001609038752,0.0,0.0,0.0
52,150,2.763953195770684,3511.0,13.5,90.00003218077504,3.265986323710904,2.0,6.0
53,25,1.1283791670955126,4888.0,13.0,45.00001609038752,0.0,0.0,0.0
54,25,1.1283791670955126,7711.0,13.0,45.00001609038752,0.0,0.0,0.0
55,25,1.1283791670955126,7869.0,13.0,45.00001609038752,0.0,0.0,0.0
56,25,1.1283791670955126,3720.0,14.0,45.00001609038752,0.0,0.0,0.0
57,50,1.5957691216057308,6301.0,14.5,0.0,2.0,0.0,0.0
58,75,1.9544100476116797,7710.0,15.0,0.0,3.265986323710904,0.0,1.0
59,50,1.5957691216057308,7872.5,14.0,90.00003218077504,2.0,0.0,0.0
60,75,1.9544100476116797,7879.333333333333,14.666666666666666,-45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
61,125,2.5231325220201604,1729.2,15.4,71.5650767661759,3.098386676965933,1.7888543819998317,5.207106781186548
62,100,2.256758334191025,3357.5,15.5,45.00001609038752,2.0,2.0,4.0
63,50,1.5957691216057308,3966.0,15.5,0.0,2.0,0.0,0.0
64,375,4.370193722368317,4791.133333333333,17.733333333333334,15.81278542164786,8.200770927684497,2.850462062442249,13.82842712474619
65,450,4.787307364817192,5246.0,17.055555555555557,-45.65728009178537,7.801895886209664,4.468772398946294,16.414213562373096
66,25,1.1283791670955126,5250.0,15.0,45.00001609038752,0.0,0.0,0.0
67,1250,7.978845608028654,5257.94,18.5,-28.58506138906531,12.89313432696138,11.700832757839509,43.3492424049175
68,25,1.1283791670955126,6199.0,15.0,45.00001609038752,0.0,0.0,0.0
