crop_image,depth[m],equivalent_diameter[px],grain_size[px],grain_size_err[px]
0,2024.0010000000002,276.01785456533264,2124856.470588235,0
0,2024.0020000000002,278.26873921339893,2136465.263157895,0
0,2024.0030000000002,286.1253882684378,2242569.5,0
0,2024.0040000000001,293.624366245758,2420764.565217391,0
0,2024.0050000000003,305.65524091540084,2739323.9837398375,0
0,2024.0060000000003,310.3732612900509,2793309.496124031,0
0,2024.0070000000003,327.0017534259702,3190279.527559055,0
0,2024.0080000000003,338.0728722272407,3387871.875,0
0,2024.0090000000002,329.5190103222617,3219429.132231405,0
0,2024.0100000000002,331.895064954049,3263487.295081967,0
0,2024.0110000000002,332.24453185085855,3248984.5528455283,0
0,2024.0120000000002,338.4558443894592,3357894.0,0
0,2024.0130000000001,328.62887429412604,3208130.492424242,0
0,2024.0140000000001,338.2719993218548,3332653.4615384615,0
0,2024.0150000000003,328.69522274789216,3070476.4925373136,0
0,2024.0160000000003,332.9172015621346,3097634.2391304346,0
0,2024.0170000000003,332.5354106214735,2979314.2086330936,0
0,2024.0180000000003,323.0006665570117,2847275.0,0
0,2024.0190000000002,335.3471602979508,3043253.321678322,0
0,2024.0200000000002,341.2292043202342,3146159.2592592593,0
0,2024.0210000000002,330.0559025791377,2967707.592592593,0
0,2024.0220000000002,335.72747865947986,3108591.856060606,0
0,2024.0230000000001,347.8256317226389,3326174.053030303,0
0,2024.0240000000001,331.3876313432246,3049441.085271318,0
0,2024.0250000000003,334.87044236891825,3061258.8582677166,0
0,2024.0260000000003,343.34268165732976,3216718.5483870967,0
0,2024.0270000000003,347.95422825176666,3442423.093220339,0
0,2024.0280000000002,373.6465752469554,3848736.1363636362,0
0,2024.0290000000002,373.25350663733394,3832533.168316832,0
0,2024.0300000000002,383.2348611733183,4071190.0,0
0,2024.0310000000002,402.3356066743296,4410970.380434782,0
0,2024.0320000000002,380.19287851827113,3999906.868131868,0
0,2024.0330000000001,393.61676098591994,4391745.738636363,0
0,2024.0340000000003,401.13078314955226,4515459.411764706,0
0,2024.0350000000003,404.4845657417335,4795244.662921349,0
0,2024.0360000000003,388.17259737019015,4580893.055555556,0
0,2024.0370000000003,362.55832503699366,3929104.6875,0
0,2024.0380000000002,353.76012178824794,3864691.584158416,0
0,2024.0390000000002,356.95399031844795,3920511.111111111,0
0,2024.0400000000002,342.4350883611728,3698589.5454545454,0
0,2024.0410000000002,328.0098611322021,3383430.882352941,0
0,2024.0420000000001,342.0909532008738,3617276.0162601625,0
0,2024.0430000000001,322.61751512220195,3158513.5080645164,0
0,2024.0440000000003,329.59014642633116,3302587.0229007634,0
0,2024.0450000000003,319.28389645691885,3038340.476190476,0
0,2024.0460000000003,321.6038202985307,3092378.073770492,0
0,2024.0470000000003,340.1195496061544,3420629.700854701,0
0,2024.0480000000002,330.5646417270454,3223614.692982456,0
0,2024.0490000000002,329.95089397985225,3158797.9545454546,0
0,2024.0500000000002,333.3475172942667,3213066.355140187,0
0,2024.0510000000002,367.8442350363518,3925194.0594059406,0
0,2024.0520000000001,375.18256371930073,4102085.638297872,0
0,2024.0530000000003,384.0196326796675,4254425.265957447,0
0,2024.0540000000003,351.4408593925659,3650241.584158416,0
0,2024.0550000000003,344.63328910911156,3512130.25,0
0,2024.0560000000003,339.86084696096606,3418540.425531915,0
0,2024.0570000000002,328.7787953292036,3261107.1428571427,0
0,2024.0580000000002,339.66017363641276,3443364.0,0
0,2024.0590000000002,340.93486129620135,3620550.4032258065,0
0,2024.0600000000002,342.50850541949177,3534320.3703703703,0
1,2024.0610000000001,302.42350403234644,2726444.736842105,0
1,2024.0620000000001,298.3262088369417,2594373.734177215,0
1,2024.0630000000003,294.85550746532243,2544911.6666666665,0
1,2024.0640000000003,303.80070639725096,2606651.923076923,0
1,2024.0650000000003,302.7995898568523,2569295.987654321,0
1,2024.0660000000003,315.2092580695031,2762673.9655172415,0
1,2024.0670000000002,329.67336866029905,3082250.51369863,0
1,2024.0680000000002,330.8565467936352,3086189.7887323946,0
1,2024.0690000000002,337.32011354952084,3182311.313868613,0
1,2024.0700000000002,342.2498719340235,3242665.4850746267,0
1,2024.0710000000001,341.90747869995727,3172327.8195488723,0
1,2024.0720000000001,337.1253597326765,3122669.029850746,0
1,2024.0730000000003,342.5583267595157,3217483.4586466164,0
1,2024.0740000000003,330.2487747389226,3018644.8214285714,0
1,2024.0750000000003,330.63805898291156,3056713.75,0
1,2024.0760000000002,320.1021760208245,2882054.3333333335,0
1,2024.0770000000002,310.9005688421742,2653411.815068493,0
1,2024.0780000000002,316.61428279678205,2732146.93877551,0
1,2024.0790000000002,297.7527323613012,2406294.1558441557,0
1,2024.0800000000002,304.49517103482276,2570961.850649351,0
1,2024.0810000000001,311.70399815047847,2688473.9932885906,0
1,2024.0820000000003,306.4402493524457,2590611.4379084967,0
1,2024.0830000000003,305.3541600928456,2525613.798701299,0
1,2024.0840000000003,315.06014647801476,2684340.7094594594,0
1,2024.0850000000003,317.15143681112784,2736927.0979020977,0
1,2024.0860000000002,327.94573691425035,2860257.1428571427,0
1,2024.0870000000002,329.28589822506984,2967472.644927536,0
1,2024.0880000000002,324.233190520305,2859560.714285714,0
1,2024.0890000000002,316.14410085873817,2764728.275862069,0
1,2024.0900000000001,309.4138861720366,2608517.060810811,0
1,2024.0910000000001,300.8373803776891,2444862.337662338,0
1,2024.0920000000003,307.5247253987386,2559184.210526316,0
1,2024.0930000000003,312.7239594790387,2697812.7586206896,0
1,2024.0940000000003,301.7878253742249,2565167.2697368423,0
1,2024.0950000000003,304.38166260565805,2617457.0,0
1,2024.0960000000002,300.54731906920995,2575092.2580645164,0
1,2024.0970000000002,299.26094878047866,2525560.220125786,0
1,2024.0980000000002,292.8429910396059,2454870.9119496853,0
1,2024.0990000000002,316.21339774722765,2802133.5,0
1,2024.1000000000001,321.0099198131308,2893793.8380281692,0
1,2024.1010000000003,315.543832378718,2848475.8865248226,0
1,2024.1020000000003,312.5042505654586,2799087.6785714286,0
1,2024.1030000000003,313.5844292657029,2848368.103448276,0
1,2024.1040000000003,320.71816501841045,2959897.574626866,0
1,2024.1050000000002,313.4652708847745,2806093.75,0
1,2024.1060000000002,310.18169296918506,2784412.2881355933,0
1,2024.1070000000002,305.01625536754983,2680285.7843137253,0
1,2024.1080000000002,304.6877649774095,2672707.1428571427,0
1,2024.1090000000002,290.7410214295985,2504777.6315789474,0
1,2024.1100000000001,290.55161221855735,2535764.772727273,0
