,area,equivalent_diameter,centroid-0,centroid-1,orientation,major_axis_length,minor_axis_length,perimeter
2662,3.0,1.9544100476116797,3639.0,5683.0,90.00003218077504,3.265986323710904,0.0,1.0
2663,196.0,15.797308339337176,3654.561224489796,9454.44387755102,-6.445834626412287,31.354773479773687,8.366140038818102,68.62741699796952
2664,108.0,11.726460285670077,3647.685185185185,769.2407407407408,-56.13990958298958,12.55173115452856,11.019187581480315,36.970562748477136
2665,8.0,3.1915382432114616,3643.75,11876.25,7.018124243392092,3.8888437389046198,2.6223833385648136,7.82842712474619
2666,543.0,26.29389801439097,3654.874769797422,6254.696132596685,-71.13417393811753,33.043758619644706,22.841485892719163,108.74011537017762
2667,11741.0,122.26653464761135,3765.379354399114,9705.04386338472,26.55390510832408,207.7152988843378,76.89548029585002,547.9137802864844
2668,1828.0,48.243982917830046,3723.0109409190372,9475.607768052516,6.371682488349249,124.99508025192506,22.214750242874924,369.32085117392114
2669,244433.0,557.8725317115461,4063.239652583735,2821.2295230185778,-16.448575374071897,983.0698085673232,392.0778449331255,6504.282897081406
2670,3193.0,63.76091174331947,3702.633573441904,9615.498590667084,-20.528899852203363,86.77071847728452,48.45736863559877,287.1198410471445
2671,2494.0,56.35121493428066,3690.7165196471533,6910.1996792301525,50.41440215488095,74.83769732492486,54.955489605943576,254.10764773832474
2672,539.0,26.196872229566885,3672.1743970315397,6266.168831168831,-87.62214283992505,40.04875847304868,20.830802702016882,117.08326112068524
2673,11.0,3.742410318509555,3666.0,4336.0,0.0,4.51260859854213,2.9541957835039856,9.65685424949238
2674,8520.0,104.1537369523705,3745.8741784037556,6880.2915492957745,27.01194249135827,146.68519495200457,78.28139854422062,420.0965004500315
2675,835.0,32.60605802383755,3708.5508982035926,8633.11377245509,9.219587947108648,70.80652786981328,16.610731337303093,194.61017305526642
2676,26591.0,184.00193676712405,3815.9677334436465,3152.2838178331012,10.028900430840366,232.465139514792,152.79516758691238,719.8132752230961
2677,126638.0,401.5476428347843,3986.6950994172366,4448.755144585353,3.1151522692649363,552.723862624041,308.9262911526464,2027.841845922842
2678,67752.0,293.70823215377663,3922.8528604321646,7850.2174991144175,-12.832445159948037,400.4359733221989,230.35649855567246,1231.3361825443205
2679,172963.0,469.2795876404896,3974.5080161653073,2286.749842451854,52.13928040046339,564.9157308561124,450.31685102170337,4474.188309203679
2680,10571.0,116.01471987379621,3767.15580361366,4559.599186453504,41.40118257275732,152.2212963081831,90.56687237719417,482.9665581351203
2681,45587.0,240.9215040751694,3826.3646873012044,5800.967337179459,33.93279159792738,295.00292861884293,208.45878249463303,953.7310601229375
2682,3.0,1.9544100476116797,3698.0,6317.0,0.0,3.265986323710904,0.0,1.0
2683,2.0,1.5957691216057308,3698.5,4398.0,0.0,2.0,0.0,0.0
2684,3480.0,66.56480763645581,3731.6798850574714,8180.21867816092,-66.69478953967925,87.50719099229443,53.04363350196957,268.45079348883235
2685,481.0,24.747287144606645,3734.931392931393,2373.087318087318,-10.410932820550046,59.05168532264803,19.229290355279186,268.8528137423857
2686,320.0,20.185060176161283,3716.978125,6584.303125,-4.910216415140326,34.74076792083325,12.049947376266989,80.62741699796952
2687,6.0,2.763953195770684,3702.8333333333335,6319.333333333333,63.434971504986656,3.055050463303893,2.666666666666666,6.414213562373095
2688,2.0,1.5957691216057308,3702.5,8620.0,0.0,2.0,0.0,0.0
2689,1.0,1.1283791670955126,3705.0,6318.0,-45.00001609038752,0.0,0.0,0.0
2690,1516.0,43.934395976484154,3772.1477572559365,8618.703166226913,-14.04074801907041,89.65340680098512,46.37146017098244,448.50461735799473
2691,28062.0,189.02287719839134,3865.104090941487,1120.7989095574087,12.424618456304373,311.82307552939176,119.1149880171392,957.5889244992064
2692,6.0,2.763953195770684,3707.1666666666665,6320.666666666667,12.93318302148842,4.363338213437162,1.65500979239906,5.0
2693,23136.0,171.6323690537211,3836.186332987552,6067.252593360996,-4.755559865671619,248.65877270451244,121.68069710581409,1100.6316010800756
2694,22.0,5.292567428401227,3711.5,4272.272727272727,0.0,5.752469825293227,4.851514205136848,14.48528137423857
2695,24375.0,176.1681409986482,3836.029907692308,11850.848943589743,8.6635209225513,235.5938230861262,138.5938805228739,786.2041481883563
2696,9916.0,112.3629980269033,3838.000100847116,9661.388261395725,11.6180130860942,181.1172925281079,94.87674343987523,597.9137802864846
2697,1.0,1.1283791670955126,3711.0,2384.0,-45.00001609038752,0.0,0.0,0.0
2698,8.0,3.1915382432114616,3712.125,8626.375,23.198598808632884,4.47213595499958,2.345207879911715,7.414213562373095
2699,23395.0,172.5903796539052,3829.2917717460996,5955.124941226758,5.828800668227308,259.69991372350717,121.53572934963852,791.120887067671
2700,21767.0,166.4770409703701,3781.6045389810265,4071.230945927321,-85.99443998596165,222.66952099920974,127.4245250154792,613.842712474619
2701,1.0,1.1283791670955126,3718.0,6324.0,-45.00001609038752,0.0,0.0,0.0
2702,30198.0,196.0848993979711,3852.805450692099,4870.347539572157,-2.2888398087749984,248.97129100166305,158.75211531741576,768.9615075012371
2703,5.0,2.5231325220201604,3720.8,6950.4,-18.43495541459913,3.098386676965933,1.7888543819998317,5.207106781186548
2704,29.0,6.076507779746499,3723.4827586206898,10875.448275862069,-51.52606601056618,15.30816391286228,3.1225768566586245,21.863961030678926
2705,525.0,25.854414729132053,3732.127619047619,2878.0876190476192,79.07582603079894,30.623556724782485,23.148569259995316,93.35533905932738
2706,1.0,1.1283791670955126,3721.0,4224.0,-45.00001609038752,0.0,0.0,0.0
2707,89.0,10.645107772184812,3742.6516853932585,2382.325842696629,-0.12945689233491184,42.77614369496144,2.7964286336046986,71.44974746830583
2708,2.0,1.5957691216057308,3722.5,4397.5,-45.00001609038752,2.8284271247461903,0.0,0.0
2709,18585.0,153.8283359427092,3880.670486951843,6358.805972558515,5.347786663015896,325.6134739843415,78.16874051949831,1154.0458146424487
2710,1.0,1.1283791670955126,3725.0,2285.0,-45.00001609038752,0.0,0.0,0.0
2711,2.0,1.5957691216057308,3726.0,4191.5,90.00003218077504,2.0,0.0,0.0
2712,11008.0,118.3884323253107,3780.7327398255816,6799.034520348837,63.50836042902965,140.89360493011793,101.64438093328535,479.2447327281724
2713,4115.0,72.38356668875329,3764.9032806804375,6409.745565006076,-26.50044743077723,85.61068212129246,64.64144963617362,288.45079348883235
