crop_image,depth[m],equivalent_diameter[px],grain_size[px],grain_size_err[px]
1,2014.7530000000002,181.7222148951997,780610.0293542075,0
1,2014.7540000000001,184.2567623089334,807548.4939759036,0
1,2014.755,185.9566233014084,828056.399132321,0
1,2014.756,187.93211047571654,843761.8226600986,0
1,2014.757,189.0403529528144,856980.3724928367,0
1,2014.758,191.5736432911013,879580.4898648649,0
1,2014.759,193.53520836478316,893968.6,0
1,2014.76,194.26022648828535,911108.5820895522,0
2,2014.7610000000002,216.3169769840009,1187270.9420289856,0
2,2014.7620000000002,214.74876522190553,1159594.857142857,0
2,2014.7630000000001,216.10141597518185,1196519.9421965317,0
2,2014.7640000000001,210.3553588879575,1115836.1747851004,0
2,2014.765,215.77467743365008,1167618.2080924856,0
2,2014.766,219.70675401475506,1203801.5765765766,0
2,2014.767,220.90641303090823,1219117.4924924925,0
2,2014.768,221.11450658091294,1233759.8372781065,0
2,2014.769,220.41877593890817,1226384.5345345344,0
2,2014.77,218.27302067456935,1198406.1764705882,0
2,2014.7710000000002,216.8090782871569,1180656.6860465116,0
2,2014.7720000000002,217.61088717635027,1193400.1420454546,0
2,2014.7730000000001,215.97048901150373,1140848.5085227273,0
2,2014.7740000000001,216.9563898391686,1166479.872881356,0
2,2014.775,214.78422843985936,1156400.0,0
2,2014.776,220.56235534380207,1218101.636904762,0
2,2014.777,223.32045611945327,1258202.743902439,0
2,2014.778,226.47658429939648,1289745.3674121406,0
2,2014.779,229.08457333418235,1313275.1661129568,0
2,2014.7800000000002,233.70280250066605,1369885.3187919464,0
2,2014.7810000000002,233.32245232280474,1365154.9831081082,0
2,2014.7820000000002,231.90869035742043,1334434.0,0
2,2014.7830000000001,227.11768265671668,1281752.1028037383,0
2,2014.784,225.57326606758804,1247996.450617284,0
2,2014.785,229.47503120825615,1281588.8714733543,0
2,2014.786,227.49185149600297,1259029.1021671826,0
2,2014.787,227.44909342577517,1262044.6875,0
2,2014.788,226.451530381919,1257554.296875,0
2,2014.789,221.19601282302958,1208170.2560240964,0
2,2014.7900000000002,218.1751143299452,1199409.7345132744,0
2,2014.7910000000002,219.98125099511162,1227523.2142857143,0
2,2014.7920000000001,216.852281313294,1204325.0753012048,0
2,2014.7930000000001,217.84655244590414,1215463.0177514793,0
2,2014.794,216.1659087805578,1195676.2390670553,0
2,2014.795,213.60492862783585,1163554.8850574712,0
2,2014.796,211.81269626029794,1146893.8821752267,0
2,2014.797,207.60735033109714,1090856.7052980133,0
2,2014.798,206.44907805136356,1078641.1172161172,0
2,2014.799,208.89127118531874,1110545.8510638298,0
2,2014.8000000000002,208.65580829546457,1078165.7692307692,0
2,2014.8010000000002,202.15762405341107,988997.4397590362,0
2,2014.8020000000001,206.61927574224595,1033812.6893939395,0
2,2014.803,203.45475439722205,986637.3529411765,0
2,2014.804,200.28465664855128,975015.8163265307,0
2,2014.805,161.8233895226816,630205.7692307692,0
2,2014.806,,,0
2,2014.807,,,0
2,2014.808,,,0
2,2014.8090000000002,,,0
2,2014.8100000000002,,,0
3,2014.8110000000001,226.4334239725881,1339317.1452702703,0
