crop_image,depth[m],equivalent_diameter[px],grain_size[px],grain_size_err[px]
0,2026.7510000000002,189.9402087288552,995559.8901098901,0
0,2026.7520000000002,195.50105052061411,1093103.640776699,0
0,2026.7530000000002,202.5152286221168,1169149.5689655172,0
0,2026.7540000000001,210.68631979616018,1336584.0551181103,0
0,2026.7550000000003,220.6471421372362,1549768.7050359712,0
0,2026.7560000000003,220.1901053686386,1528856.9256756757,0
0,2026.7570000000003,225.49247795080223,1601887.4125874126,0
0,2026.7580000000003,246.11008069326525,2017086.4130434783,0
0,2026.7590000000002,265.67202437425846,2303415.466101695,0
0,2026.7600000000002,271.1787166941111,2380192.025862069,0
0,2026.7610000000002,271.39924045539726,2425296.462264151,0
0,2026.7620000000002,286.4763484489954,2662329.656862745,0
0,2026.7630000000001,286.15167869356077,2770095.4545454546,0
0,2026.7640000000001,288.99279651792324,2752502.75,0
0,2026.7650000000003,281.6655082757608,2568544.736842105,0
0,2026.7660000000003,291.28095248913166,2747629.301075269,0
0,2026.7670000000003,299.64724504215013,2872585.0515463916,0
0,2026.7680000000003,278.2924828091787,2370658.3333333335,0
0,2026.7690000000002,283.11666256495084,2474134.31372549,0
0,2026.7700000000002,298.9060413656598,2706136.436170213,0
0,2026.7710000000002,327.17839682178254,3208061.4583333335,0
0,2026.7720000000002,326.75966838721166,3255369.0860215053,0
0,2026.7730000000001,333.36998049702123,3264749.4565217393,0
0,2026.7740000000001,336.6775400055885,3286751.1363636362,0
0,2026.7750000000003,339.02569989772707,3266269.252873563,0
0,2026.7760000000003,367.35183720462885,4019955.625,0
0,2026.7770000000003,377.57953483872296,4504954.934210527,0
0,2026.7780000000002,390.1652710873934,4852497.297297297,0
0,2026.7790000000002,396.2913045781874,4994630.208333333,0
0,2026.7800000000002,397.4937616952368,5086716.785714285,0
0,2026.7810000000002,386.31127796217885,4903134.722222222,0
0,2026.7820000000002,368.0184386748,4499035.810810811,0
0,2026.7830000000001,382.85809421776565,4866452.464788732,0
0,2026.7840000000003,394.3002597187595,5146455.072463769,0
0,2026.7850000000003,381.5682493826631,4939341.319444444,0
0,2026.7860000000003,360.47850340417887,4271722.333333333,0
0,2026.7870000000003,376.0023013017696,4308688.194444444,0
0,2026.7880000000002,381.6607866022931,4272135.447761194,0
0,2026.7890000000002,373.2096210634094,4187284.285714286,0
0,2026.7900000000002,374.9275623906609,4247597.857142857,0
0,2026.7910000000002,369.8925998956589,4090878.515625,0
0,2026.7920000000001,379.95130131531863,4299539.344262295,0
0,2026.7930000000001,401.81724261176157,4735522.457627119,0
0,2026.7940000000003,391.6609924793816,4480231.147540984,0
0,2026.7950000000003,408.5290363698172,4783582.203389831,0
0,2026.7960000000003,418.65689156594595,4845535.887096774,0
0,2026.7970000000003,374.5266978876507,3986371.7391304346,0
0,2026.7980000000002,383.4752263211767,4122679.861111111,0
0,2026.7990000000002,375.6801152364747,3895636.111111111,0
0,2026.8000000000002,357.27058373080445,3622941.5584415584,0
0,2026.8010000000002,379.73557006762593,4067494.0789473685,0
0,2026.8020000000001,381.40303228569246,4215802.777777778,0
0,2026.8030000000003,368.0157560026829,3823060.588235294,0
0,2026.8040000000003,362.43526247460363,3722442.6470588236,0
0,2026.8050000000003,365.4399345094855,3753098.475609756,0
0,2026.8060000000003,352.9689954493524,3569952.027027027,0
0,2026.8070000000002,370.0341218596371,3901564.6825396824,0
0,2026.8080000000002,363.0047397651288,3853060.0,0
0,2026.8090000000002,375.51470345413856,4140490.7608695654,0
0,2026.8100000000002,404.4957500405662,4586948.571428572,0
1,2026.8110000000001,349.63936845533254,3261403.640776699,0
1,2026.8120000000001,328.43465590020196,2852539.0625,0
1,2026.8130000000003,303.39924967871195,2512366.875,0
1,2026.8140000000003,304.1553042709379,2518335.655737705,0
1,2026.8150000000003,303.9438794137636,2552749.6062992127,0
1,2026.8160000000003,306.29343514592404,2556641.6666666665,0
1,2026.8170000000002,307.28262758949063,2571403.9583333335,0
1,2026.8180000000002,316.475253952541,2816697.0085470085,0
1,2026.8190000000002,315.8419749643582,2826503.9256198346,0
1,2026.8200000000002,308.09507694455607,2711040.137614679,0
1,2026.8210000000001,314.7909406110063,2863495.642201835,0
1,2026.8220000000001,334.07574816899654,3126040.6565656564,0
1,2026.8230000000003,348.20955273124804,3339747.5,0
1,2026.8240000000003,355.48156820900647,3930415.277777778,0
