crop_image,depth[m],equivalent_diameter[px],grain_size[px],grain_size_err[px]
0,2005.3010000000002,286.87046670218416,2290439.1447368423,0
0,2005.3020000000001,285.25909264583197,2293793.258426966,0
0,2005.303,296.7826481587592,2550170.909090909,0
0,2005.304,293.75448487760895,2462436.475409836,0
0,2005.3050000000003,293.657165486331,2444652.3897058824,0
0,2005.3060000000003,313.1116209988695,2804175.0,0
0,2005.3070000000002,317.33909247650774,2867878.3333333335,0
0,2005.3080000000002,318.27798235434426,2893113.5761589403,0
0,2005.3090000000002,319.03574639358504,2915678.75,0
0,2005.3100000000002,325.0334506450788,3085413.8257575757,0
0,2005.3110000000001,335.2898481870034,3402702.868852459,0
0,2005.3120000000001,349.1284041520822,3732553.2608695654,0
0,2005.313,349.1466618887751,3659595.631067961,0
0,2005.314,367.8620640649622,4104311.8932038834,0
0,2005.3150000000003,371.78079606795075,4160995.145631068,0
0,2005.3160000000003,340.0541829497661,3573591.1616161615,0
0,2005.3170000000002,333.900022307764,3426260.2678571427,0
0,2005.3180000000002,308.8019427824189,3020466.2213740456,0
0,2005.3190000000002,288.50045323845706,2576564.9681528662,0
0,2005.3200000000002,262.3061816093248,2086044.4587628867,0
0,2005.3210000000001,242.48982247192092,1705369.2391304348,0
0,2005.3220000000001,229.20089736485136,1433968.4065934066,0
0,2005.323,223.29627103234404,1339523.064516129,0
0,2005.324,213.01101700124173,1146110.7246376812,0
0,2005.3250000000003,205.13379103301338,1037313.5471204189,0
0,2005.3260000000002,206.36887246184614,1046334.1523341524,0
0,2005.3270000000002,201.67018055428733,972529.0898617512,0
0,2005.3280000000002,198.94865112597182,921824.3181818182,0
0,2005.3290000000002,198.93197615468745,931062.1867881549,0
0,2005.3300000000002,205.33548497153456,1009282.4821852732,0
0,2005.3310000000001,206.67540998116306,1028956.6365979381,0
0,2005.332,212.6233018445769,1128891.4772727273,0
0,2005.333,217.65664014496585,1308743.769470405,0
0,2005.3340000000003,228.4946673589437,1533097.2419928825,0
0,2005.3350000000003,241.30328423950297,1759683.3686440678,0
0,2005.3360000000002,244.78365739919946,1909961.0436893203,0
0,2005.3370000000002,269.8799478681655,2396097.8658536584,0
0,2005.3380000000002,307.39291344546626,3134369.074074074,0
0,2005.3390000000002,333.645868998809,3645272.5663716816,0
0,2005.3400000000001,336.71911356088333,3937725.0,0
0,2005.3410000000001,349.81904469325445,4070492.2330097086,0
0,2005.342,343.7105085252421,3935841.5,0
0,2005.343,351.71152446696806,3773885.3092783503,0
0,2005.3440000000003,343.9138768555884,3497809.5,0
0,2005.3450000000003,340.61306220423296,3378117.6886792453,0
0,2005.3460000000002,338.047788281562,3224882.1428571427,0
0,2005.3470000000002,343.35545986887104,3253251.8018018017,0
0,2005.3480000000002,344.81928178318515,3213178.603603604,0
0,2005.3490000000002,344.8417853379436,3199365.990990991,0
0,2005.3500000000001,359.39647178109556,3522552.2321428573,0
0,2005.351,356.0284554245294,3447063.063063063,0
0,2005.352,367.1516241526844,3674050.223214286,0
0,2005.3530000000003,373.7956166610768,3853680.339805825,0
0,2005.3540000000003,367.87346522488014,3777769.9029126214,0
0,2005.3550000000002,357.9190267629308,3655429.75,0
0,2005.3560000000002,371.1854488024736,3916752.011494253,0
0,2005.3570000000002,359.8873271267749,3799318.9102564105,0
0,2005.3580000000002,338.93378557918095,3439529.7101449277,0
0,2005.3590000000002,333.13312100327835,3456177.4590163934,0
0,2005.3600000000001,318.58035668582977,2925726.063829787,0
1,2005.361,366.1038333703545,3904799.7641509436,0
1,2005.362,357.2478864289079,3701726.8518518517,0
1,2005.3630000000003,331.7705434741159,3164713.8671875,0
1,2005.3640000000003,327.1619648924729,3060956.7669172934,0
1,2005.3650000000002,335.63371965072145,3215145.0,0
1,2005.3660000000002,350.06549154196284,3419841.4682539683,0
1,2005.3670000000002,341.5611256983059,3273348.484848485,0
1,2005.3680000000002,326.63446891442976,2887867.716535433,0
1,2005.3690000000001,328.00564451898174,2919999.0234375,0
1,2005.3700000000001,329.87747223658636,3090883.5317460317,0
1,2005.371,344.1253668662408,3340766.5322580645,0
1,2005.372,345.19819454315433,3364398.940677966,0
1,2005.3730000000003,355.6829058526564,3583841.0550458715,0
1,2005.3740000000003,371.95120873212954,3971256.3725490198,0
1,2005.3750000000002,373.4924009032691,3990686.7647058824,0
1,2005.3760000000002,365.2944509879871,3970719.6428571427,0
1,2005.3770000000002,381.2708518421787,4384229.117647059,0
1,2005.3780000000002,403.9856236471415,4819908.544303797,0
