,area,equivalent_diameter,centroid_x,centroid_y,orientation,major_axis_length,minor_axis_length,perimeter
1,25,1.1283791670955126,4912.0,4.0,45.00001609038752,0.0,0.0,0.0
2,25,1.1283791670955126,7402.0,4.0,45.00001609038752,0.0,0.0,0.0
3,50,1.5957691216057308,7403.0,8.5,0.0,2.0,0.0,0.0
4,1990475,318.392932258662,9405.385460756854,180.21924415026564,-17.897356113796427,356.800807453036,295.03516350283263,1260.3584771209069
5,100,2.256758334191025,7016.5,10.5,45.00001609038752,2.0,2.0,4.0
6,25,1.1283791670955126,7367.0,10.0,45.00001609038752,0.0,0.0,0.0
7,250,3.5682482323055424,7349.2,12.7,23.42381350851067,5.444424563872507,2.253495322449476,8.82842712474619
8,25,1.1283791670955126,7403.0,11.0,45.00001609038752,0.0,0.0,0.0
9,25,1.1283791670955126,4898.0,14.0,45.00001609038752,0.0,0.0,0.0
10,6567825,578.3567934381067,6389.859789960908,351.34650740541963,34.94883194283199,735.4832962883905,487.1706658902013,3983.3455967290593
11,25,1.1283791670955126,7404.0,18.0,45.00001609038752,0.0,0.0,0.0
12,150,2.763953195770684,7405.666666666667,20.833333333333332,14.655008775562198,5.545131758410893,1.3022896092295921,5.207106781186548
13,25,1.1283791670955126,7327.0,20.0,45.00001609038752,0.0,0.0,0.0
14,50,1.5957691216057308,7352.5,20.0,90.00003218077504,2.0,0.0,0.0
15,25,1.1283791670955126,5928.0,21.0,45.00001609038752,0.0,0.0,0.0
16,25,1.1283791670955126,6187.0,26.0,45.00001609038752,0.0,0.0,0.0
17,25,1.1283791670955126,6186.0,27.0,45.00001609038752,0.0,0.0,0.0
18,200,3.1915382432114616,7362.5,28.5,0.0,4.47213595499958,2.0,8.0
19,50,1.5957691216057308,3267.0,28.5,0.0,2.0,0.0,0.0
20,25,1.1283791670955126,7325.0,28.0,45.00001609038752,0.0,0.0,0.0
21,25,1.1283791670955126,7355.0,28.0,45.00001609038752,0.0,0.0,0.0
22,25,1.1283791670955126,7324.0,29.0,45.00001609038752,0.0,0.0,0.0
23,25,1.1283791670955126,7325.0,30.0,45.00001609038752,0.0,0.0,0.0
24,50,1.5957691216057308,7405.0,30.5,0.0,2.0,0.0,0.0
25,25,1.1283791670955126,7363.0,33.0,45.00001609038752,0.0,0.0,0.0
26,75,1.9544100476116797,7364.0,35.0,0.0,3.265986323710904,0.0,1.0
27,1250,7.978845608028654,1244.04,42.16,49.555719524052094,17.616217680792168,4.112623812476102,34.62741699796952
28,25,1.1283791670955126,6611.0,37.0,45.00001609038752,0.0,0.0,0.0
29,254400,113.82655932261599,6597.843062106918,130.2629716981132,4.297141443514338,148.39969213605903,107.80207384540601,695.4995667241114
30,25,1.1283791670955126,7365.0,40.0,45.00001609038752,0.0,0.0,0.0
31,25,1.1283791670955126,10830.0,40.0,45.00001609038752,0.0,0.0,0.0
