,area,equivalent_diameter,centroid_x,centroid_y,orientation,major_axis_length,minor_axis_length,perimeter
1,25,1.1283791670955126,5640.0,1.0,45.00001609038752,0.0,0.0,0.0
2,25,1.1283791670955126,6945.0,1.0,45.00001609038752,0.0,0.0,0.0
3,275,3.742410318509555,9086.636363636364,3.0,-30.694781142367322,4.967994363003793,2.848231107005645,9.071067811865476
4,100,2.256758334191025,9092.0,2.5,0.0,4.47213595499958,0.0,2.0
5,275,3.742410318509555,5633.545454545455,4.2727272727272725,3.057752876485173,6.410747983365109,1.964939688573319,11.207106781186548
6,75,1.9544100476116797,5641.0,3.0,0.0,3.265986323710904,0.0,1.0
7,25,1.1283791670955126,5703.0,2.0,45.00001609038752,0.0,0.0,0.0
8,25,1.1283791670955126,5726.0,2.0,45.00001609038752,0.0,0.0,0.0
9,25,1.1283791670955126,6920.0,2.0,45.00001609038752,0.0,0.0,0.0
10,25,1.1283791670955126,6946.0,2.0,45.00001609038752,0.0,0.0,0.0
11,50,1.5957691216057308,6949.0,2.5,0.0,2.0,0.0,0.0
12,525,5.170882945826411,8468.809523809523,5.238095238095238,-13.597533360127105,7.87759880792396,3.4473874318525994,16.242640687119284
13,150,2.763953195770684,9102.5,3.1666666666666665,-59.03626457717169,4.320493798938573,1.8856180831641272,6.621320343559642
14,25,1.1283791670955126,5700.0,3.0,45.00001609038752,0.0,0.0,0.0
15,25,1.1283791670955126,5702.0,3.0,45.00001609038752,0.0,0.0,0.0
16,25,1.1283791670955126,5725.0,3.0,45.00001609038752,0.0,0.0,0.0
17,50,1.5957691216057308,6939.5,3.0,90.00003218077504,2.0,0.0,0.0
18,25,1.1283791670955126,6945.0,3.0,45.00001609038752,0.0,0.0,0.0
19,500,5.046265044040321,11391.45,5.2,-68.04334658821685,8.679054569007558,3.345745326259761,15.242640687119284
20,75,1.9544100476116797,5665.666666666667,4.666666666666667,45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
21,25,1.1283791670955126,5701.0,4.0,45.00001609038752,0.0,0.0,0.0
22,25,1.1283791670955126,5718.0,4.0,45.00001609038752,0.0,0.0,0.0
23,25,1.1283791670955126,5724.0,4.0,45.00001609038752,0.0,0.0,0.0
24,25,1.1283791670955126,6922.0,4.0,45.00001609038752,0.0,0.0,0.0
25,325,4.068428945128219,5687.384615384615,7.461538461538462,20.13993873579606,6.081683435644867,2.774800375008483,12.071067811865476
26,25,1.1283791670955126,6931.0,5.0,45.00001609038752,0.0,0.0,0.0
27,25,1.1283791670955126,6943.0,5.0,45.00001609038752,0.0,0.0,0.0
28,25,1.1283791670955126,6971.0,5.0,45.00001609038752,0.0,0.0,0.0
29,25,1.1283791670955126,9098.0,5.0,45.00001609038752,0.0,0.0,0.0
30,175,2.985410660720923,5672.142857142857,7.428571428571429,41.57862816070677,4.505936460652527,1.964637859424638,6.414213562373095
31,25,1.1283791670955126,5720.0,6.0,45.00001609038752,0.0,0.0,0.0
32,25,1.1283791670955126,5726.0,6.0,45.00001609038752,0.0,0.0,0.0
33,25,1.1283791670955126,6932.0,6.0,45.00001609038752,0.0,0.0,0.0
34,25,1.1283791670955126,9097.0,6.0,45.00001609038752,0.0,0.0,0.0
35,25,1.1283791670955126,9103.0,6.0,45.00001609038752,0.0,0.0,0.0
36,25,1.1283791670955126,3776.0,7.0,45.00001609038752,0.0,0.0,0.0
37,25,1.1283791670955126,5724.0,7.0,45.00001609038752,0.0,0.0,0.0
38,25,1.1283791670955126,6904.0,7.0,45.00001609038752,0.0,0.0,0.0
39,550,5.292567428401227,6924.727272727273,8.590909090909092,-68.06687700887366,8.224843855432853,3.481456389942398,17.44974746830583
40,125,2.5231325220201604,8464.0,8.0,31.71748575249332,4.093338188813542,1.5635160606788385,5.414213562373095
41,250,3.5682482323055424,9092.8,9.0,39.34504783136412,5.2028951042759015,2.7367649760075956,10.65685424949238
42,25,1.1283791670955126,9096.0,7.0,45.00001609038752,0.0,0.0,0.0
43,25,1.1283791670955126,9102.0,7.0,45.00001609038752,0.0,0.0,0.0
44,25,1.1283791670955126,6932.0,8.0,45.00001609038752,0.0,0.0,0.0
45,825,6.4820448144285745,8469.121212121212,13.212121212121213,-20.963609052313412,11.463625627251428,5.210128060039178,27.485281374238568
46,25,1.1283791670955126,9095.0,8.0,45.00001609038752,0.0,0.0,0.0
47,25,1.1283791670955126,9445.0,8.0,45.00001609038752,0.0,0.0,0.0
48,25,1.1283791670955126,6974.0,9.0,45.00001609038752,0.0,0.0,0.0
49,850,6.579524642479541,9854.323529411764,12.176470588235293,9.528273257637698,7.050154757493508,6.164792004272756,19.899494936611667
50,1331925,260.45034694708175,490.5130544137245,210.80462488503483,-31.418200483456182,398.04697661034857,208.50954404215648,2254.9211024301703
51,175,2.985410660720923,4472.714285714285,12.0,0.0,3.0237157840738176,2.799416848895061,6.82842712474619
52,25,1.1283791670955126,5687.0,11.0,45.00001609038752,0.0,0.0,0.0
53,125,2.5231325220201604,6966.6,11.8,-84.84760710407011,4.093338188813542,1.563516060678838,4.414213562373095
54,25,1.1283791670955126,5991.0,12.0,45.00001609038752,0.0,0.0,0.0
55,25,1.1283791670955126,6929.0,12.0,45.00001609038752,0.0,0.0,0.0
56,150,2.763953195770684,9091.166666666666,13.0,-36.86991082919827,3.8297084310253524,1.8856180831641272,6.207106781186548
57,25,1.1283791670955126,9993.0,12.0,45.00001609038752,0.0,0.0,0.0
58,25,1.1283791670955126,607.0,13.0,45.00001609038752,0.0,0.0,0.0
59,25,1.1283791670955126,6918.0,13.0,45.00001609038752,0.0,0.0,0.0
60,25,1.1283791670955126,6928.0,13.0,45.00001609038752,0.0,0.0,0.0
61,25,1.1283791670955126,9095.0,13.0,45.00001609038752,0.0,0.0,0.0
62,25,1.1283791670955126,6927.0,14.0,45.00001609038752,0.0,0.0,0.0
63,125,2.5231325220201604,9093.2,15.2,45.00001609038752,4.0,1.3856406460551023,5.414213562373095
64,25,1.1283791670955126,9993.0,14.0,45.00001609038752,0.0,0.0,0.0
65,25,1.1283791670955126,6926.0,15.0,45.00001609038752,0.0,0.0,0.0
66,50,1.5957691216057308,9088.0,15.5,0.0,2.0,0.0,0.0
67,100,2.256758334191025,8462.5,17.0,-31.71748575249332,3.23606797749979,1.2360679774997898,4.414213562373095
68,125,2.5231325220201604,9090.0,18.0,45.00001609038752,2.5298221281347035,2.5298221281347035,5.656854249492381
69,25,1.1283791670955126,9849.0,17.0,45.00001609038752,0.0,0.0,0.0
70,25,1.1283791670955126,8466.0,18.0,45.00001609038752,0.0,0.0,0.0
71,25,1.1283791670955126,11399.0,18.0,45.00001609038752,0.0,0.0,0.0
