,area,equivalent_diameter,centroid_x,centroid_y,orientation,major_axis_length,minor_axis_length,perimeter
1,520575,162.82710781691202,3827.2620659847285,82.03030303030303,-88.26197676958161,186.88921807659045,145.29086950530777,582.2935059634514
2,25,1.1283791670955126,7604.0,2.0,45.00001609038752,0.0,0.0,0.0
3,25,1.1283791670955126,8122.0,2.0,45.00001609038752,0.0,0.0,0.0
4,50,1.5957691216057308,9265.0,2.5,0.0,2.0,0.0,0.0
5,25,1.1283791670955126,744.0,3.0,45.00001609038752,0.0,0.0,0.0
6,25,1.1283791670955126,10273.0,3.0,45.00001609038752,0.0,0.0,0.0
7,100,2.256758334191025,6206.0,5.5,0.0,4.47213595499958,0.0,2.0
8,25,1.1283791670955126,7602.0,4.0,45.00001609038752,0.0,0.0,0.0
9,25,1.1283791670955126,745.0,5.0,45.00001609038752,0.0,0.0,0.0
10,1316800,258.9673209119067,1984.2943119684082,321.5515643985419,-3.3281976768979735,703.9461768193023,125.77545102450604,2758.641881816591
11,50,1.5957691216057308,7603.5,5.0,90.00003218077504,2.0,0.0,0.0
12,50,1.5957691216057308,8121.0,5.5,0.0,2.0,0.0,0.0
13,75,1.9544100476116797,9264.0,6.0,0.0,3.265986323710904,0.0,1.0
14,150,2.763953195770684,6141.5,8.5,18.43495541459913,3.9999999999999996,1.632993161855452,6.414213562373095
15,75,1.9544100476116797,8120.0,9.0,0.0,3.265986323710904,0.0,1.0
16,50,1.5957691216057308,6207.0,9.5,0.0,2.0,0.0,0.0
17,50,1.5957691216057308,9263.0,9.5,0.0,2.0,0.0,0.0
18,100,2.256758334191025,8119.25,12.75,-18.43495541459913,3.4641016151377544,1.4142135623730951,3.2071067811865475
19,75,1.9544100476116797,9262.0,13.0,0.0,3.265986323710904,0.0,1.0
20,1050,7.312732791431452,2333.7619047619046,15.785714285714286,88.71288230088119,12.705464148051052,7.8785985155633735,26.9350288425444
21,50,1.5957691216057308,10351.0,13.5,0.0,2.0,0.0,0.0
22,50,1.5957691216057308,2326.0,14.5,0.0,2.0,0.0,0.0
23,25,1.1283791670955126,2341.0,14.0,45.00001609038752,0.0,0.0,0.0
24,75,1.9544100476116797,8118.0,16.0,0.0,3.265986323710904,0.0,1.0
25,100,2.256758334191025,2342.0,17.5,0.0,4.47213595499958,0.0,2.0
26,25,1.1283791670955126,9261.0,16.0,45.00001609038752,0.0,0.0,0.0
27,75,1.9544100476116797,2308.0,17.0,90.00003218077504,3.265986323710904,0.0,1.0
28,50,1.5957691216057308,6208.0,17.5,0.0,2.0,0.0,0.0
29,200,3.1915382432114616,9164.5,17.0,90.00003218077504,9.16515138991168,0.0,6.0
30,25,1.1283791670955126,2305.0,18.0,45.00001609038752,0.0,0.0,0.0
31,100,2.256758334191025,2313.5,18.0,90.00003218077504,4.47213595499958,0.0,2.0
32,75,1.9544100476116797,2326.0,19.0,0.0,3.265986323710904,0.0,1.0
33,175,2.985410660720923,8116.571428571428,20.571428571428573,-14.089300092806637,6.553504018576144,1.2082004568003004,5.0
34,25,1.1283791670955126,9160.0,18.0,45.00001609038752,0.0,0.0,0.0
35,25,1.1283791670955126,9171.0,18.0,45.00001609038752,0.0,0.0,0.0
36,25,1.1283791670955126,2029.0,19.0,45.00001609038752,0.0,0.0,0.0
37,25,1.1283791670955126,2303.0,19.0,45.00001609038752,0.0,0.0,0.0
38,75,1.9544100476116797,2317.6666666666665,19.333333333333332,-45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
39,25,1.1283791670955126,6145.0,19.0,45.00001609038752,0.0,0.0,0.0
40,125,2.5231325220201604,6175.8,19.8,45.00001609038752,4.0,1.3856406460551023,5.414213562373095
41,25,1.1283791670955126,9172.0,19.0,45.00001609038752,0.0,0.0,0.0
42,50,1.5957691216057308,9260.0,19.5,0.0,2.0,0.0,0.0
43,25,1.1283791670955126,2302.0,20.0,45.00001609038752,0.0,0.0,0.0
44,100,2.256758334191025,2356.5,20.0,90.00003218077504,4.47213595499958,0.0,2.0
45,75,1.9544100476116797,2361.0,20.0,90.00003218077504,3.265986323710904,0.0,1.0
46,25,1.1283791670955126,9159.0,20.0,45.00001609038752,0.0,0.0,0.0
47,25,1.1283791670955126,9173.0,20.0,45.00001609038752,0.0,0.0,0.0
48,50,1.5957691216057308,2301.0,21.5,0.0,2.0,0.0,0.0
49,25,1.1283791670955126,2319.0,21.0,45.00001609038752,0.0,0.0,0.0
50,50,1.5957691216057308,2341.0,21.5,0.0,2.0,0.0,0.0
51,50,1.5957691216057308,2352.5,21.0,90.00003218077504,2.0,0.0,0.0
52,50,1.5957691216057308,2365.5,21.0,90.00003218077504,2.0,0.0,0.0
53,50,1.5957691216057308,9259.0,21.5,0.0,2.0,0.0,0.0
54,25,1.1283791670955126,2320.0,22.0,45.00001609038752,0.0,0.0,0.0
55,25,1.1283791670955126,2327.0,22.0,45.00001609038752,0.0,0.0,0.0
56,125,2.5231325220201604,2349.8,22.8,45.00001609038752,4.0,1.3856406460551023,5.414213562373095
57,25,1.1283791670955126,2367.0,22.0,45.00001609038752,0.0,0.0,0.0
58,25,1.1283791670955126,6146.0,22.0,45.00001609038752,0.0,0.0,0.0
59,125,2.5231325220201604,9157.8,23.6,-5.152425076704936,4.093338188813543,1.5635160606788383,4.414213562373095
60,25,1.1283791670955126,9174.0,22.0,45.00001609038752,0.0,0.0,0.0
61,100,2.256758334191025,10273.0,23.5,0.0,4.47213595499958,0.0,2.0
62,25,1.1283791670955126,2328.0,23.0,45.00001609038752,0.0,0.0,0.0
63,75,1.9544100476116797,2339.6666666666665,23.666666666666668,45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
64,25,1.1283791670955126,2368.0,23.0,45.00001609038752,0.0,0.0,0.0
65,50,1.5957691216057308,9175.0,23.5,0.0,2.0,0.0,0.0
66,250,3.5682482323055424,2320.9,27.9,-5.05371524529264,8.878069782348952,2.014913630839403,9.414213562373096
67,475,4.918490759365935,2333.6315789473683,25.36842105263158,82.72233769326773,10.559529372294932,2.664623341484514,18.242640687119284
68,25,1.1283791670955126,2369.0,24.0,45.00001609038752,0.0,0.0,0.0
69,75,1.9544100476116797,8115.0,25.0,0.0,3.265986323710904,0.0,1.0
70,25,1.1283791670955126,11882.0,24.0,45.00001609038752,0.0,0.0,0.0
71,25,1.1283791670955126,2348.0,25.0,45.00001609038752,0.0,0.0,0.0
72,25,1.1283791670955126,2370.0,25.0,45.00001609038752,0.0,0.0,0.0
73,25,1.1283791670955126,6147.0,25.0,45.00001609038752,0.0,0.0,0.0
