,area,equivalent_diameter,centroid_x,centroid_y,orientation,major_axis_length,minor_axis_length,perimeter
1,536450,165.29117989453377,5993.48858234691,108.34672383260323,4.317082134096727,208.39320883409593,133.2821262180163,596.8549057834388
2,50,1.5957691216057308,9337.5,3.0,90.00003218077504,2.0,0.0,0.0
3,25,1.1283791670955126,9342.0,3.0,45.00001609038752,0.0,0.0,0.0
4,450,4.787307364817192,7862.055555555556,6.666666666666667,-25.167813592874882,5.897835445395495,4.4032234289449095,13.863961030678928
5,25,1.1283791670955126,7871.0,4.0,45.00001609038752,0.0,0.0,0.0
6,125,2.5231325220201604,9517.6,4.2,84.84760710407011,4.093338188813542,1.563516060678838,4.414213562373095
7,25,1.1283791670955126,7870.0,5.0,45.00001609038752,0.0,0.0,0.0
8,8612875,662.3066674543105,1486.1862705542574,367.3439966329478,8.929099006583135,788.0006987556026,607.988048093676,3461.7892475429553
9,25,1.1283791670955126,7869.0,6.0,45.00001609038752,0.0,0.0,0.0
10,25,1.1283791670955126,1348.0,7.0,45.00001609038752,0.0,0.0,0.0
11,25,1.1283791670955126,7868.0,7.0,45.00001609038752,0.0,0.0,0.0
12,25,1.1283791670955126,7867.0,8.0,45.00001609038752,0.0,0.0,0.0
13,25,1.1283791670955126,7858.0,9.0,45.00001609038752,0.0,0.0,0.0
14,25,1.1283791670955126,7866.0,9.0,45.00001609038752,0.0,0.0,0.0
15,1768850,300.1446163904855,8385.009610764057,144.56412358311897,-47.25164960607095,383.8201811290355,251.33508695926193,1195.697618258058
16,25,1.1283791670955126,7860.0,10.0,45.00001609038752,0.0,0.0,0.0
17,75,1.9544100476116797,7864.0,10.0,90.00003218077504,3.265986323710904,0.0,1.0
18,1325,8.214724333230155,569.188679245283,17.528301886792452,-5.212723223979463,14.130710496331044,6.726815082994223,34.00609665440987
19,25,1.1283791670955126,2223.0,11.0,45.00001609038752,0.0,0.0,0.0
20,50,1.5957691216057308,2228.5,11.0,90.00003218077504,2.0,0.0,0.0
21,50,1.5957691216057308,1357.5,12.0,90.00003218077504,2.0,0.0,0.0
22,25,1.1283791670955126,2235.0,12.0,45.00001609038752,0.0,0.0,0.0
23,25,1.1283791670955126,1356.0,13.0,45.00001609038752,0.0,0.0,0.0
24,25,1.1283791670955126,2236.0,13.0,45.00001609038752,0.0,0.0,0.0
25,25,1.1283791670955126,1355.0,14.0,45.00001609038752,0.0,0.0,0.0
26,25,1.1283791670955126,1369.0,14.0,45.00001609038752,0.0,0.0,0.0
27,25,1.1283791670955126,2237.0,14.0,45.00001609038752,0.0,0.0,0.0
28,125,2.5231325220201604,575.2,15.8,-45.00001609038752,4.0,1.3856406460551023,5.414213562373095
29,150,2.763953195770684,9535.833333333334,16.666666666666668,7.465711258538651,6.011486661777879,1.2805490592103137,5.207106781186548
30,50,1.5957691216057308,7413.5,16.0,90.00003218077504,2.0,0.0,0.0
31,175,2.985410660720923,572.7142857142857,18.0,0.0,3.0237157840738176,2.799416848895061,6.82842712474619
32,25,1.1283791670955126,1372.0,18.0,45.00001609038752,0.0,0.0,0.0
33,150,2.763953195770684,576.3333333333334,19.833333333333332,63.434971504986656,3.055050463303893,2.666666666666666,6.414213562373095
34,25,1.1283791670955126,574.0,21.0,45.00001609038752,0.0,0.0,0.0
35,1075,7.399277020331919,580.8372093023256,27.674418604651162,-89.84080510341943,9.085869236437068,6.72215593650576,25.14213562373095
36,100,2.256758334191025,1384.5,24.0,90.00003218077504,4.47213595499958,0.0,2.0
37,50,1.5957691216057308,1354.0,25.5,0.0,2.0,0.0,0.0
38,25,1.1283791670955126,1382.0,25.0,45.00001609038752,0.0,0.0,0.0
39,100,2.256758334191025,1390.5,25.0,90.00003218077504,4.47213595499958,0.0,2.0
40,25,1.1283791670955126,1381.0,26.0,45.00001609038752,0.0,0.0,0.0
41,25,1.1283791670955126,1395.0,26.0,45.00001609038752,0.0,0.0,0.0
42,25,1.1283791670955126,1355.0,27.0,45.00001609038752,0.0,0.0,0.0
43,25,1.1283791670955126,1396.0,27.0,45.00001609038752,0.0,0.0,0.0
44,25,1.1283791670955126,1356.0,28.0,45.00001609038752,0.0,0.0,0.0
45,25,1.1283791670955126,1370.0,28.0,45.00001609038752,0.0,0.0,0.0
46,25,1.1283791670955126,2221.0,28.0,45.00001609038752,0.0,0.0,0.0
47,25,1.1283791670955126,1358.0,29.0,45.00001609038752,0.0,0.0,0.0
48,75,1.9544100476116797,1368.0,29.0,90.00003218077504,3.265986323710904,0.0,1.0
49,25,1.1283791670955126,2223.0,29.0,45.00001609038752,0.0,0.0,0.0
50,100,2.256758334191025,1364.5,30.0,90.00003218077504,4.47213595499958,0.0,2.0
51,25,1.1283791670955126,2227.0,30.0,45.00001609038752,0.0,0.0,0.0
52,50,1.5957691216057308,2235.5,30.0,90.00003218077504,2.0,0.0,0.0
53,225,3.385137501286538,1388.0,32.0,45.00001609038752,3.265986323710904,3.265986323710904,8.0
54,75,1.9544100476116797,2229.0,31.0,90.00003218077504,3.265986323710904,0.0,1.0
55,125,2.5231325220201604,1417.0,33.0,90.00003218077504,5.656854249492381,0.0,3.0
56,25,1.1283791670955126,1378.0,34.0,45.00001609038752,0.0,0.0,0.0
57,25,1.1283791670955126,1414.0,34.0,45.00001609038752,0.0,0.0,0.0
58,150,2.763953195770684,1421.8333333333333,34.166666666666664,-85.26886938506854,5.39192040212807,1.4276923647012265,5.414213562373095
59,25,1.1283791670955126,7395.0,34.0,45.00001609038752,0.0,0.0,0.0
60,25,1.1283791670955126,7398.0,34.0,45.00001609038752,0.0,0.0,0.0
61,25,1.1283791670955126,1412.0,35.0,45.00001609038752,0.0,0.0,0.0
62,75,1.9544100476116797,1427.6666666666667,35.333333333333336,-45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
63,25,1.1283791670955126,1379.0,37.0,45.00001609038752,0.0,0.0,0.0
64,25,1.1283791670955126,1380.0,38.0,45.00001609038752,0.0,0.0,0.0
65,75,1.9544100476116797,1395.6666666666667,38.666666666666664,45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
66,500,5.046265044040321,1420.9,40.05,26.565060675788352,5.215361924162119,4.795831523312719,13.65685424949238
67,25,1.1283791670955126,1429.0,38.0,45.00001609038752,0.0,0.0,0.0
68,25,1.1283791670955126,1381.0,39.0,45.00001609038752,0.0,0.0,0.0
69,200,3.1915382432114616,1386.125,40.375,78.69009566272824,7.745966692414834,1.224744871391589,6.0
70,25,1.1283791670955126,1394.0,40.0,45.00001609038752,0.0,0.0,0.0
71,25,1.1283791670955126,1410.0,40.0,45.00001609038752,0.0,0.0,0.0
72,50,1.5957691216057308,1392.5,41.0,90.00003218077504,2.0,0.0,0.0
73,25,1.1283791670955126,7401.0,41.0,45.00001609038752,0.0,0.0,0.0
74,50,1.5957691216057308,10779.5,41.0,90.00003218077504,2.0,0.0,0.0
75,25,1.1283791670955126,1410.0,42.0,45.00001609038752,0.0,0.0,0.0
76,50,1.5957691216057308,7404.5,42.0,90.00003218077504,2.0,0.0,0.0
77,50,1.5957691216057308,7402.0,43.5,0.0,2.0,0.0,0.0
78,20361600,1018.3357857618378,10976.98104151933,686.2236599776049,19.916412724067985,1358.0033627385449,802.743357126662,6076.363199609261
79,650,5.753627391751592,10794.923076923076,47.57692307692308,13.73250479961815,10.817613549732268,3.141148046995856,21.485281374238568
80,25,1.1283791670955126,11034.0,43.0,45.00001609038752,0.0,0.0,0.0
81,50,1.5957691216057308,1411.0,44.5,0.0,2.0,0.0,0.0
82,2931700,386.4068515593416,4272.166149333151,276.95957123853054,10.088384471731828,490.126681753554,315.47331196321136,1751.5981592151961
83,150,2.763953195770684,7404.5,46.666666666666664,-23.744784951280792,3.9236836602610987,2.856617245931912,4.207106781186548
84,25,1.1283791670955126,1412.0,46.0,45.00001609038752,0.0,0.0,0.0
85,25,1.1283791670955126,1428.0,46.0,45.00001609038752,0.0,0.0,0.0
86,25,1.1283791670955126,11021.0,46.0,45.00001609038752,0.0,0.0,0.0
87,275,3.742410318509555,1417.090909090909,47.90909090909091,77.33681939977498,10.550276385838659,1.3717692324306066,10.207106781186548
88,25,1.1283791670955126,1427.0,47.0,45.00001609038752,0.0,0.0,0.0
89,167425,92.3411350974818,7212.555472599672,112.44930565925041,-23.72391784586619,123.79764917780683,77.33409777778591,417.0376259469858
90,150,2.763953195770684,11017.166666666666,48.166666666666664,45.000016090387525,3.1269438398822857,2.309401076758503,6.242640687119286
