,area,equivalent_diameter,centroid-0,centroid-1,orientation,major_axis_length,minor_axis_length,perimeter
1,8304.0,102.82500269623527,131.60236030828517,10642.351396917149,9.007623419834339,267.80458540335104,45.382022462899265,643.445742854949
2,20.0,5.046265044040321,8.75,1753.9,-66.81335107945782,9.001877366189113,3.3773071942143713,17.65685424949238
3,1.0,1.1283791670955126,8.0,1042.0,-45.00001609038752,0.0,0.0,0.0
4,3921.0,70.65672122952333,51.453965825044634,2131.595766386126,-3.965137218632406,92.18856199948603,65.48169967096486,558.286363288515
5,85.0,10.403141895720198,17.95294117647059,1045.5058823529412,55.765044631014,21.263336617821608,7.847018936425829,59.248737341529164
6,2.0,1.5957691216057308,12.0,1108.5,90.00003218077504,2.0,0.0,0.0
7,2996.0,61.762655998803574,47.070093457943926,8599.062082777036,17.105393690971987,76.09931464687439,51.10084234654021,239.4091629284897
8,1.0,1.1283791670955126,13.0,9908.0,-45.00001609038752,0.0,0.0,0.0
9,14.0,4.222008245644752,15.357142857142858,3370.3571428571427,61.38427148819297,5.302790716312392,3.3507237120510704,11.65685424949238
10,8.0,3.1915382432114616,14.625,3375.25,-72.70388165253861,3.9722133299273006,2.6403638502198645,8.242640687119284
11,2.0,1.5957691216057308,16.0,1049.5,90.00003218077504,2.0,0.0,0.0
12,1.0,1.1283791670955126,16.0,1095.0,-45.00001609038752,0.0,0.0,0.0
13,7.0,2.985410660720923,17.571428571428573,10955.142857142857,-10.900708640877319,3.648665604076859,2.5058084612197167,7.242640687119286
14,3269.0,64.51527006639007,49.10767818904864,1038.7607831141022,82.55844712032278,84.43575871632626,56.68367502427314,439.81832585697947
15,549.0,26.438769072322643,43.131147540983605,1356.3296903460837,1.7415991490401665,56.683513571610554,20.72711785267191,299.5452018978108
16,64.0,9.0270333367641,22.078125,2782.875,-20.25961448317312,12.555991298566264,8.616810677990337,37.14213562373095
17,70817.0,300.27821239562155,218.41629834644223,2374.2292952257226,-32.47481078006465,412.4983969958253,226.13613981491775,1399.2367235014588
18,75.0,9.772050238058398,26.413333333333334,1066.04,74.08557119181067,21.340738496633488,8.00335987615167,66.14213562373095
19,25246.0,179.28805187848943,185.07668541551138,6745.696704428425,-11.431600971441704,320.43436094989676,223.4620914390905,2155.2936854322006
20,1.0,1.1283791670955126,22.0,6811.0,-45.00001609038752,0.0,0.0,0.0
21,5.0,2.5231325220201604,23.8,1080.4,-18.43495541459913,3.098386676965933,1.7888543819998317,5.207106781186548
22,2.0,1.5957691216057308,23.5,6030.0,0.0,2.0,0.0,0.0
23,3.0,1.9544100476116797,24.666666666666668,6810.333333333333,45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
24,9.0,3.385137501286538,28.555555555555557,2768.3333333333335,-6.047380700831922,4.277662731533559,2.643019518000728,7.621320343559642
25,904.0,33.92651689225682,47.00774336283186,1843.9314159292035,-24.002579071342254,39.823512814156174,31.122554157737174,149.0893577750951
26,27.0,5.863230142835039,31.444444444444443,2133.703703703704,-0.7266407467453777,7.490133897151389,5.944134626032691,21.485281374238568
27,2.0,1.5957691216057308,29.5,7959.0,0.0,2.0,0.0,0.0
28,1.0,1.1283791670955126,29.0,7976.0,-45.00001609038752,0.0,0.0,0.0
29,1.0,1.1283791670955126,30.0,10456.0,-45.00001609038752,0.0,0.0,0.0
30,8.0,3.1915382432114616,34.375,1048.75,27.111970835318473,8.050200457237098,1.3943717575666852,8.82842712474619
31,8.0,3.1915382432114616,33.375,2074.0,13.649790986340802,4.0293536560629795,2.7412240175461577,7.242640687119286
32,306.0,19.738573927438622,42.408496732026144,2740.3366013071895,-50.71136399097881,24.337750433789747,16.753548268344655,83.66904755831213
33,13.0,4.068428945128219,34.69230769230769,6747.923076923077,-11.991019541778845,7.902958852277355,2.4673102920864736,13.656854249492381
34,5.0,2.5231325220201604,33.2,7977.2,31.120740827127783,5.394569746911582,1.272248892986869,4.621320343559642
35,3.0,1.9544100476116797,37.0,10647.0,0.0,3.265986323710904,0.0,1.0
36,5.0,2.5231325220201604,38.4,2075.2,-5.1524250767049375,4.093338188813542,1.563516060678838,4.414213562373095
37,2.0,1.5957691216057308,37.0,2134.5,90.00003218077504,2.0,0.0,0.0
38,15.0,4.370193722368317,39.53333333333333,6727.933333333333,-0.8678526047770773,6.510742091277596,3.085668247232252,12.242640687119284
39,3.0,1.9544100476116797,38.333333333333336,7976.333333333333,-45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
40,3.0,1.9544100476116797,40.0,2134.6666666666665,-28.15497630421716,3.677088528342677,0.8374020402130087,1.2071067811865475
41,178895.0,477.2590369551916,271.0073395008245,4615.751591715811,53.335175602074926,579.5774261610459,402.9526260115785,3275.1019100214135
42,5.0,2.5231325220201604,39.4,9919.8,-71.5650767661759,3.098386676965933,1.7888543819998317,5.207106781186548
43,1.0,1.1283791670955126,39.0,9924.0,-45.00001609038752,0.0,0.0,0.0
44,142833.0,426.45119755155747,307.6978919437385,7670.112628034138,12.84916400011756,537.5455583323588,351.45914951134307,2727.1586924834064
45,2.0,1.5957691216057308,40.5,7962.0,0.0,2.0,0.0,0.0
46,19105.0,155.96551382329775,121.15629416383146,5308.189897932479,8.496157948384733,183.8784719195951,140.7031059568482,858.3879143724298
47,8504.0,104.05589405904801,118.74047507055504,4329.903692380057,-13.093977061484653,144.42375716235898,76.76786372290977,444.06706319850866
48,1.0,1.1283791670955126,42.0,6742.0,-45.00001609038752,0.0,0.0,0.0
49,1.0,1.1283791670955126,42.0,7976.0,-45.00001609038752,0.0,0.0,0.0
